ID,Year,Month,Cumulative Installed Capacity,City
1,2010,January,45.28,Edmonton
2,2010,February,45.28,Edmonton
3,2010,March,45.28,Edmonton
4,2010,April,49.68,Edmonton
5,2010,May,49.68,Edmonton
6,2010,June,60,Edmonton
7,2010,July,60,Edmonton
8,2010,August,75,Edmonton
9,2010,September,75,Edmonton
10,2010,October,75,Edmonton
11,2010,November,75,Edmonton
12,2010,December,104.81,Edmonton
13,2011,January,117.28,Edmonton
14,2011,February,121.06,Edmonton
15,2011,March,121.06,Edmonton
16,2011,April,121.06,Edmonton
17,2011,May,127.64,Edmonton
18,2011,June,130.22,Edmonton
19,2011,July,130.22,Edmonton
20,2011,August,140.72,Edmonton
21,2011,September,141.64,Edmonton
22,2011,October,141.64,Edmonton
23,2011,November,141.64,Edmonton
24,2011,December,141.64,Edmonton
25,2012,January,171.12,Edmonton
26,2012,February,183.62,Edmonton
27,2012,March,187.52,Edmonton
28,2012,April,194.82,Edmonton
29,2012,May,197.41,Edmonton
30,2012,June,220.09,Edmonton
31,2012,July,233.09,Edmonton
32,2012,August,268.18,Edmonton
33,2012,September,268.37,Edmonton
34,2012,October,280.37,Edmonton
35,2012,November,296.6,Edmonton
36,2012,December,304.77,Edmonton
37,2013,January,310.79,Edmonton
38,2013,February,314.49,Edmonton
39,2013,March,314.49,Edmonton
40,2013,April,318.36,Edmonton
41,2013,May,341.82,Edmonton
42,2013,June,354.82,Edmonton
43,2013,July,361.88,Edmonton
44,2013,August,369.23,Edmonton
45,2013,September,380.07,Edmonton
46,2013,October,440.42,Edmonton
47,2013,November,753.72,Edmonton
48,2013,December,756.72,Edmonton
49,2014,January,780.73,Edmonton
50,2014,February,792.73,Edmonton
51,2014,March,808.21,Edmonton
52,2014,April,811.22,Edmonton
53,2014,May,817.72,Edmonton
54,2014,June,836.54,Edmonton
55,2014,July,863.29,Edmonton
56,2014,August,884.77,Edmonton
57,2014,September,919.87,Edmonton
58,2014,October,969.16,Edmonton
59,2014,November,1134.36,Edmonton
60,2014,December,1262.79,Edmonton
61,2015,January,1262.79,Edmonton
62,2015,February,1262.79,Edmonton
