date,rro,my_price,month,year,transmission,distribution_var,rider_dj,rider_l,rider_k,rider_j,rider_g,laf,dist_daily,bill_fixed,bill_var
2017-03-01,0.0332,0.0332,3,2017,0.0308,0.00861,-0.00289,0,0.00258,0.00216,0.00114,0.0084,0.5907,18.3117,0.0508
2017-04-01,0.03032,0.03032,4,2017,0.0308,0.00861,-0.00289,0,0.00258,0.00216,0.00114,0.0084,0.5907,17.721,0.0508
2017-05-01,0.02782,0.02782,5,2017,0.0308,0.00861,-0.00289,0,0.00258,0.00216,0.00114,0.0084,0.5907,18.3117,0.0508
2017-06-01,0.02823,0.02823,6,2017,0.0308,0.00861,-0.00289,0,0.00258,0.00216,0.00114,0.0084,0.5907,17.721,0.0508
2017-07-01,0.03469,0.03469,7,2017,0.0308,0.00861,-0.00289,0,0.00258,0.00216,0.00114,0.0084,0.5907,18.3117,0.0508
2017-08-01,0.03715,0.03715,8,2017,0.0308,0.00861,-0.00289,0,0.00258,0.00216,0.00114,0.0084,0.5907,18.3117,0.0508
2017-09-01,0.03365,0.03365,9,2017,0.0308,0.00861,-0.00289,0,0.00258,0.00216,0.00114,0.0084,0.5907,17.721,0.0508
2017-10-01,0.03444,0.03444,10,2017,0.0308,0.00861,-0.00289,0,0.00258,0.00216,0.00114,0.0084,0.5907,18.3117,0.0508
2017-11-01,0.03333,0.03333,11,2017,0.0308,0.00861,-0.00289,0,0.00258,0.00216,0.00114,0.0084,0.5907,17.721,0.0508
2017-12-01,0.03774,0.03774,12,2017,0.0308,0.00861,-0.00289,0,0.00258,0.00216,0.00114,0.0084,0.5907,18.3117,0.0508
2018-01-01,0.04772,0.04772,1,2018,0.03025,0.00907,0.00276,0,0.00358,-0.00172,0.00321,0.0081,0.621,19.251,0.05525
2018-02-01,0.04781,0.04781,2,2018,0.03025,0.00907,0.00276,0,0.00358,-0.00172,0.00321,0.0081,0.621,17.388,0.05525
2018-03-01,0.04565,0.04565,3,2018,0.03025,0.00907,0.00276,0,0.00358,-0.00172,0.00321,0.0081,0.621,19.251,0.05525
2018-04-01,0.068,0.068,4,2018,0.03025,0.00907,0.00276,0,0.00358,-0.00172,0.00321,0.0081,0.621,18.63,0.05525
2018-05-01,0.05379,0.05379,5,2018,0.03025,0.00907,0.00276,0,0.00358,-0.00172,0.00321,0.0081,0.621,19.251,0.05525
2018-06-01,0.05928,0.15,6,2018,0.03025,0.00907,0.00276,0,0.00358,-0.00172,0.00321,0.0081,0.621,18.63,0.05525
2018-07-01,0.068,0.15,7,2018,0.03025,0.00907,0.00276,0,0.00358,-0.00172,0.00321,0.0081,0.621,19.251,0.05525
2018-08-01,0.068,0.15,8,2018,0.03025,0.00907,0.00276,0,0.00358,-0.00172,0.00321,0.0081,0.621,19.251,0.05525
2018-09-01,0.068,0.15,9,2018,0.03025,0.00907,0.00276,0,0.00358,-0.00172,0.00321,0.0081,0.621,18.63,0.05525
2018-10-01,0.06577,0.06538,10,2018,0.03025,0.00907,0.00276,0,0.00358,-0.00172,0.00321,0.0081,0.621,19.251,0.05525
2018-11-01,0.06222,0.0556,11,2018,0.03025,0.00907,0.00276,0,0.00358,-0.00172,0.00321,0.0081,0.621,18.63,0.05525
2018-12-01,0.068,0.04531,12,2018,0.03025,0.00907,0.00276,0,0.00358,-0.00172,0.00321,0.0081,0.621,19.251,0.05525
2019-01-01,0.068,0.04529,1,2019,0.03132,0.00951,0.00276,0,0.00203,-1.00E-04,0.003,0.0085,0.6521,20.2151,0.05702
2019-02-01,0.068,0.04531,2,2019,0.03132,0.00951,0.00276,0,0.00203,-1.00E-04,0.003,0.0085,0.6521,18.2588,0.05702
2019-03-01,0.05991,0.0986,3,2019,0.03132,0.00951,0.00276,0,0.00203,-1.00E-04,0.003,0.0085,0.6521,20.2151,0.05702
2019-04-01,0.068,0.15,4,2019,0.03132,0.00951,0.00276,0,0.00203,-1.00E-04,0.003,0.0085,0.6521,19.563,0.05702
2019-05-01,0.068,0.15,5,2019,0.03132,0.00951,0.00276,0,0.00203,-1.00E-04,0.003,0.0085,0.6521,20.2151,0.05702
2019-06-01,0.068,0.15,6,2019,0.03132,0.00951,0.00276,0,0.00203,-1.00E-04,0.003,0.0085,0.6521,19.563,0.05702
2019-07-01,0.068,0.15,7,2019,0.03132,0.00951,0.00276,0,0.00203,-1.00E-04,0.003,0.0085,0.6521,20.2151,0.05702
2019-08-01,0.068,0.15,8,2019,0.03132,0.00951,0.00276,0,0.00203,-1.00E-04,0.003,0.0085,0.6521,20.2151,0.05702
2019-09-01,0.068,0.06834,9,2019,0.03132,0.00951,0.00276,0,0.00203,-1.00E-04,0.003,0.0085,0.6521,19.563,0.05702
2019-10-01,0.068,0.04563,10,2019,0.03132,0.00951,0.00276,0,0.00203,-1.00E-04,0.003,0.0085,0.6521,20.2151,0.05702
2019-11-01,0.068,0.06426,11,2019,0.03132,0.00951,0.00276,0,0.00203,-1.00E-04,0.003,0.0085,0.6521,19.563,0.05702
2019-12-01,0.068,0.06481,12,2019,0.03132,0.00951,0.00276,0,0.00203,-1.00E-04,0.003,0.0085,0.6521,20.2151,0.05702
2019-12-06,0.08069,0.05273,12,2019,0.03132,0.00951,0.00276,0,0.00203,-1.00E-04,0.003,0.0085,0.6521,20.2151,0.05702
2020-01-01,0.08449,0.12348,1,2020,0.03536,0.00993,0.0024,0,7.30E-04,0.00168,0.00259,0.009,0.68128,21.11968,0.06169
2020-02-01,0.08722,0.12953,2,2020,0.03536,0.00993,0.0024,0,7.30E-04,0.00168,0.00259,0.009,0.68128,19.75712,0.06169
2020-03-01,0.07104,0.22,3,2020,0.03536,0.00993,0.0024,0,7.30E-04,0.00168,0.00259,0.009,0.68128,21.11968,0.06169
2020-04-01,0.05753,0.22,4,2020,0.03536,0.00993,0.0024,0,7.30E-04,0.00168,0.00259,0.009,0.68128,20.4384,0.06169
2020-05-01,0.05465,0.22,5,2020,0.03536,0.00993,0.0024,0,7.30E-04,0.00168,0.00259,0.009,0.68128,21.11968,0.06169
2020-06-01,0.05501,0.22,6,2020,0.03536,0.00993,0.0024,0,7.30E-04,0.00168,0.00259,0.009,0.68128,20.4384,0.06169
2020-07-01,0.06841,0.22,7,2020,0.03536,0.00993,0.0024,0,7.30E-04,0.00168,0.00259,0.009,0.68128,21.11968,0.06169
2020-08-01,0.06696,0.22,8,2020,0.03536,0.00993,0.0024,0,7.30E-04,0.00168,0.00259,0.009,0.68128,21.11968,0.06169
2020-09-01,0.07684,0.03818,9,2020,0.03536,0.00993,0.0024,0,7.30E-04,0.00168,0.00259,0.009,0.68128,20.4384,0.06169
2020-10-01,0.06548,0.03509,10,2020,0.03536,0.00993,0.0024,0,7.30E-04,0.00168,0.00259,0.009,0.68128,21.11968,0.06169
2020-11-01,0.06142,0.04197,11,2020,0.03536,0.00993,0.0024,0,7.30E-04,0.00168,0.00259,0.009,0.68128,20.4384,0.06169
2020-12-01,0.06801,0.04197,12,2020,0.03536,0.00993,0.0024,0,7.30E-04,0.00168,0.00259,0.009,0.68128,21.11968,0.06169
2021-01-01,0.08117,0.059,1,2021,0.0361,0.01036,0,4.30E-04,3.31E-05,0.0011,0.00238,0.0097,0.71057,22.02767,0.0601031
2021-02-01,0.08955,0.059,2,2021,0.0361,0.01036,0,4.30E-04,3.31E-05,0.0011,0.00238,0.0097,0.71057,19.89596,0.0601031
2021-03-01,0.07479,0.267,3,2021,0.0361,0.01036,0,4.30E-04,3.31E-05,0.0011,0.00238,0.0097,0.71057,22.02767,0.0601031
2021-04-01,0.0907,0.267,4,2021,0.0361,0.01036,0,4.30E-04,3.31E-05,0.0011,0.00238,0.0097,0.71057,21.3171,0.0601031
