"PVWatts Hourly PV Performance Data"
"Requested Location","arizona"
"Location","Lat, Lng: 33.45, -112.06"
"Latitude (DD)","33.45"
"Longitude (DD)","-112.06"
"Elevation (m)","321.11999511719"
"DC System Size (kW)","1000"
"Module Type","Premium"
"Array Type","2-Axis Tracking"
"Array Tilt (deg)","0"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","8","4.4","0.15","0","8","0","0"
"1","1","1","0","0","7","4.2","0.15","0","7","0","0"
"1","1","2","0","0","7","4.1","0.15","0","7","0","0"
"1","1","3","0","0","7","4","0.15","0","7","0","0"
"1","1","4","0","0","6","3.8","0.15","0","6","0","0"
"1","1","5","0","0","6","3.8","0.15","0","6","0","0"
"1","1","6","0","0","6","3.7","0.15","0","6","0","0"
"1","1","7","0","0","8","3.7","0.15","0","8","0","0"
"1","1","8","633","39","12","4","0.15","736.395","24.628","632949.517","606558.037"
"1","1","9","830","56","16","3.9","0.15","954.912","32.701","813031.142","780258.653"
"1","1","10","916","66","20","4","0.15","1036.796","37.839","860632.657","826173.458"
"1","1","11","924","81","23","4.2","0.15","1059.289","40.685","864621.576","830021.033"
"1","1","12","934","84","25","4.1","0.15","1071.105","43.125","864367.17","829775.642"
"1","1","13","922","82","26","3.8","0.15","1058.294","44.716","850482.503","816382.964"
"1","1","14","895","72","26","2.8","0.15","1023.213","47.282","818957.509","785975.026"
"1","1","15","810","61","24","1.7","0.15","940.893","48.253","755112.552","724392.35"
"1","1","16","615","42","20","1.5","0.15","721.361","39.351","589089.557","564252.209"
"1","1","17","0","0","17","1.8","0.15","0","0","0","0"
