"PVWatts Hourly PV Performance Data"
"Requested Location","regway"
"Location","Lat, Lng: 49.01, -104.58"
"Latitude (DD)","49.01"
"Longitude (DD)","-104.58"
"Elevation (m)","698.35998535156"
"DC System Size (kW)","1000"
"Module Type","Premium"
"Array Type","2-Axis Tracking"
"Array Tilt (deg)","0"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-22","1.4","0.87","0","-22","0","0"
"1","1","1","0","0","-22","1.4","0.87","0","-22","0","0"
"1","1","2","0","0","-21","1.3","0.87","0","-21","0","0"
"1","1","3","0","0","-21","1.2","0.87","0","-21","0","0"
"1","1","4","0","0","-20","1.1","0.87","0","-20","0","0"
"1","1","5","0","0","-20","1.2","0.87","0","-20","0","0"
"1","1","6","0","0","-20","1.6","0.87","0","-20","0","0"
"1","1","7","0","0","-21","2","0.87","0","-21","0","0"
"1","1","8","0","0","-21","2.2","0.87","0","-21","0","0"
"1","1","9","0","3","-21","2.4","0.87","2.548","-20.948","1681.495","0"
"1","1","10","0","11","-19","2.5","0.87","9.474","-18.794","8151.394","3898.995"
"1","1","11","0","40","-18","2.3","0.87","34.978","-17.209","31612.528","26528.808"
"1","1","12","0","30","-17","2","0.87","26.292","-16.369","23470.248","18675.042"
"1","1","13","0","93","-17","1.8","0.87","92.979","-14.674","86038.121","79025.886"
"1","1","14","79","106","-16","1.6","0.87","225.66","-10.084","213505.29","201976.386"
"1","1","15","309","63","-16","1.3","0.87","479.642","-2.532","450367.04","430445.183"
"1","1","16","165","28","-16","1","0.87","275.084","-8.051","224843.5","212912.839"
"1","1","17","0","0","-17","0.9","0.87","0","-17","0","0"
"1","1","18","0","0","-17","0.9","0.87","0","-17","0","0"
"1","1","19","0","0","-18","1","0.87","0","-18","0","0"
"1","1","20","0","0","-18","1.1","0.87","0","-18","0","0"
"1","1","21","0","0","-19","1.2","0.87","0","-19","0","0"
"1","1","22","0","0","-19","1.1","0.87","0","-19","0","0"
"1","1","23","0","0","-20","1","0.87","0","-20","0","0"
"1","2","0","0","0","-20","1","0.87","0","-20","0","0"
"1","2","1","0","0","-21","1.1","0.87","0","-21","0","0"
"1","2","2","0","0","-22","1.2","0.87","0","-22","0","0"
"1","2","3","0","0","-23","1.5","0.87","0","-23","0","0"
"1","2","4","0","0","-24","1.7","0.87","0","-24","0","0"
"1","2","5","0","0","-25","1.8","0.87","0","-25","0","0"
"1","2","6","0","0","-25","1.9","0.87","0","-25","0","0"
"1","2","7","0","0","-24","2.1","0.87","0","-24","0","0"
"1","2","8","0","0","-22","2.5","0.87","0","-22","0","0"
"1","2","9","0","15","-19","3.6","0.87","12.852","-18.784","8943.313","4662.853"
"1","2","10","0","19","-17","4.5","0.87","16.407","-16.739","14278.12","9808.627"
"1","2","11","0","59","-15","4.7","0.87","52.895","-14.179","47944.125","42281.712"
"1","2","12","0","64","-13","4.8","0.87","56.9","-12.128","51326.539","45544.273"
"1","2","13","0","98","-11","4.8","0.87","99.626","-9.473","90744.62","83565.614"
"1","2","14","0","92","-10","4.8","0.87","97.578","-8.505","88534.258","81433.575"
"1","2","15","0","10","-10","4.6","0.87","8.617","-9.865","7136.948","2920.495"
"1","2","16","0","3","-10","4.4","0.87","2.55","-9.961","1766.245","0"
"1","2","17","0","0","-10","4.6","0.87","0","-10","0","0"
"1","2","18","0","0","-10","4.8","0.87","0","-10","0","0"
"1","2","19","0","0","-9","4.6","0.87","0","-9","0","0"
"1","2","20","0","0","-8","4.5","0.87","0","-8","0","0"
"1","2","21","0","0","-7","4.6","0.87","0","-7","0","0"
"1","2","22","0","0","-5","4.6","0.87","0","-5","0","0"
"1","2","23","0","0","-5","4.6","0.87","0","-5","0","0"
"1","3","0","0","0","-4","4.7","0.87","0","-4","0","0"
"1","3","1","0","0","-3","4.8","0.87","0","-3","0","0"
"1","3","2","0","0","-2","4.8","0.87","0","-2","0","0"
"1","3","3","0","0","-2","4.6","0.87","0","-2","0","0"
"1","3","4","0","0","-1","4.4","0.87","0","-1","0","0"
"1","3","5","0","0","0","4.1","0.87","0","0","0","0"
"1","3","6","0","0","0","3.9","0.87","0","0","0","0"
"1","3","7","0","0","0","3.6","0.87","0","0","0","0"
"1","3","8","0","0","0","3.3","0.87","0","0","0","0"
