Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,-9.8,1.4,0,-9.8,0,0
1,1,1,0,0,-6.4,3.1,0,-6.4,0,0
1,1,2,0,0,-4.1,2.2,0,-4.1,0,0
1,1,3,0,0,-3.1,3.1,0,-3.1,0,0
1,1,4,0,0,-3.1,0,0,-3.1,0,0
1,1,5,0,0,-3.1,0,0,-3.1,0,0
1,1,6,0,0,-4.4,0.8,0,-4.4,0,0
1,1,7,0,0,-3.3,1.4,0,-3.3,0,0
1,1,8,0,3,-3.3,2.2,2.714,-5.464,19.208,0
1,1,9,0,21,-3.9,2.2,20.567,-5.558,145.639,102.896
1,1,10,29,58,-2.2,2.8,89.997,-1.832,624.725,572.493
1,1,11,13,83,-2.2,2.8,100.075,-1.355,695.75,642.018
1,1,12,37,94,-1.7,2.8,142.938,0.288,986.464,926.346
1,1,13,104,96,-1.7,2.8,212.023,2.198,1448.838,1377.74
1,1,14,66,74,-1.1,3.6,150.849,1.19,1033.31,972.126
1,1,15,39,34,-1.1,2.2,73.521,-0.697,503.801,454.067
1,1,16,0,7,-1.1,2.2,6.332,-2.873,44.341,3.466
1,1,17,0,0,-1.7,2.2,0,-1.7,0,0
1,1,18,0,0,-0.6,6.7,0,-0.6,0,0
1,1,19,0,0,-2.8,4.4,0,-2.8,0,0
1,1,20,0,0,-7.2,3.1,0,-7.2,0,0
1,1,21,0,0,-8.9,3.1,0,-8.9,0,0
1,1,22,0,0,-10,5,0,-10,0,0
1,1,23,0,0,-6.1,5.3,0,-6.1,0,0
1,2,0,0,0,-10,5,0,-10,0,0
1,2,1,0,0,-9.4,5.8,0,-9.4,0,0
1,2,2,0,0,-11.7,3.9,0,-11.7,0,0
1,2,3,0,0,-12.2,3.6,0,-12.2,0,0
1,2,4,0,0,-13.9,5.3,0,-13.9,0,0
1,2,5,0,0,-11.7,5,0,-11.7,0,0
1,2,6,0,0,-12.2,2.8,0,-12.2,0,0
1,2,7,0,0,-13.3,3.6,0,-13.3,0,0
1,2,8,0,6,-12.8,3.1,5.427,-14.656,39.868,0
1,2,9,243,29,-13.3,4.4,172.866,-11.235,1202.153,1137.039
1,2,10,596,41,-11.1,5.3,458.439,-3.547,3161.183,3040.605
1,2,11,668,54,-8.9,4.4,597.372,3.057,4046.543,3894.937
1,2,12,693,68,-7.2,5,662.038,5.339,4452.536,4285.461
1,2,13,559,79,-7.2,2.8,554.531,7.018,3699.348,3560.352
1,2,14,216,66,-10,3.9,249.013,-4.795,1740.313,1661.772
1,2,15,171,32,-9.4,5,162.378,-7.28,1129.311,1065.909
1,2,16,0,9,-8.3,6.7,8.141,-9.219,58.513,17.38
1,2,17,0,0,-7.8,5.8,0,-7.8,0,0
1,2,18,0,0,-6.7,3.9,0,-6.7,0,0
1,2,19,0,0,-6.7,3.9,0,-6.7,0,0
1,2,20,0,0,-6.7,3.6,0,-6.7,0,0
1,2,21,0,0,-7.8,3.6,0,-7.8,0,0
1,2,22,0,0,-8.9,3.6,0,-8.9,0,0
1,2,23,0,0,-11.7,1.4,0,-11.7,0,0
1,3,0,0,0,-14.4,1.4,0,-14.4,0,0
1,3,1,0,0,-15.6,1.7,0,-15.6,0,0
1,3,2,0,0,-17.8,2.2,0,-17.8,0,0
1,3,3,0,0,-12.8,3.1,0,-12.8,0,0
1,3,4,0,0,-6.7,2.8,0,-6.7,0,0
1,3,5,0,0,-2.8,4.4,0,-2.8,0,0
1,3,6,0,0,-2.2,5.3,0,-2.2,0,0
1,3,7,0,0,0.6,6.7,0,0.6,0,0
1,3,8,0,4,0.6,7.2,3.618,-0.504,25.088,0
1,3,9,69,28,-1.7,6.4,83.906,-1.543,570.545,519.441
1,3,10,362,63,-0.6,6.4,344.171,4.081,2306.322,2212.181
1,3,11,652,73,-0.6,7.2,606.789,8.161,4022.376,3871.667
1,3,12,691,76,-1.1,6.4,669.869,9.742,4420.431,4254.607
1,3,13,664,81,-1.7,4.4,636.538,11.472,4163.818,4007.824
1,3,14,374,113,-1.1,8.6,438.492,4.549,2947.327,2833.687
1,3,15,278,71,-2.2,11.7,292.138,0.533,1972.237,1887.487
1,3,16,0,19,-2.8,8.9,17.186,-3.354,120.595,78.319
1,3,17,0,0,-3.9,7.2,0,-3.9,0,0
1,3,18,0,0,-6.1,5.3,0,-6.1,0,0
1,3,19,0,0,-9.4,2.8,0,-9.4,0,0
1,3,20,0,0,-13.9,2.8,0,-13.9,0,0
1,3,21,0,0,-15,3.6,0,-15,0,0
1,3,22,0,0,-13.9,1.7,0,-13.9,0,0
1,3,23,0,0,-16.1,2.2,0,-16.1,0,0
1,4,0,0,0,-16.1,1.4,0,-16.1,0,0
1,4,1,0,0,-16.7,2.2,0,-16.7,0,0
1,4,2,0,0,-16.7,3.9,0,-16.7,0,0
1,4,3,0,0,-17.8,1.7,0,-17.8,0,0
1,4,4,0,0,-18.9,0.8,0,-18.9,0,0
1,4,5,0,0,-18.3,1.4,0,-18.3,0,0
1,4,6,0,0,-15,2.8,0,-15,0,0
1,4,7,0,0,-15,3.6,0,-15,0,0
1,4,8,0,4,-11.7,5.8,3.618,-12.972,26.401,0
1,4,9,22,26,-12.2,5,42.966,-12.849,308.752,262.901
1,4,10,29,59,-10.6,6.7,90.939,-10.291,653.575,600.737
1,4,11,38,86,-8.3,8.1,133.033,-7.369,947.068,887.839
1,4,12,17,99,-8.3,6.4,122.25,-7.344,871.39,813.849
1,4,13,50,89,-8.3,5.3,145.318,-6.789,1031.976,970.822
1,4,14,38,69,-8.3,5.3,110.233,-7.422,783.535,727.917
1,4,15,68,38,-8.9,5.8,95.464,-8.391,672.65,619.408
1,4,16,0,21,-8.9,5,18.995,-9.872,136.892,94.313
1,4,17,0,0,-11.7,3.6,0,-11.7,0,0
1,4,18,0,0,-15.6,2.8,0,-15.6,0,0
1,4,19,0,0,-16.7,2.8,0,-16.7,0,0
1,4,20,0,0,-16.7,2.2,0,-16.7,0,0
1,4,21,0,0,-17.8,3.6,0,-17.8,0,0
1,4,22,0,0,-18.3,2.2,0,-18.3,0,0
1,4,23,0,0,-18.3,2.8,0,-18.3,0,0
1,5,0,0,0,-21.1,2.2,0,-21.1,0,0
1,5,1,0,0,-17.8,2.8,0,-17.8,0,0
